Category,Neighbourhood Information,Population,Population,"Families, households and marital status",Income,Population,Population,Population,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Population and dwellings,Household and dwelling characteristics,Income of households in 2015,Age characteristics,Age characteristics,Age characteristics,Income of individuals in 2015,Income of economic families in 2015,Income of economic families in 2015,Low income in 2015
Characteristic,Neighbourhood Name,"Population, 2016",Population density per square kilometre, Average household size,  Average after-tax income of households in 2015 ($),Youth (0-24 years),Working Age (25-54 years),Seniors (55+ years),  Number of employment income recipients aged 15 years and over in private households - 100% data,  In the bottom half of the distribution,  In the top half of the distribution,"In low income based on the Low-income cut-offs, after tax (LICO-AT)"
64,Woodbine Corridor,"12,541","7,838",2.28,"240,272","3,360","6,165","3,175","7,570","5,025","7,405","1,725"
65,Greenwood-Coxwell,"14,417","8,582",2.37,"216,423","3,765","7,240","3,605","8,490","7,075","7,310","2,535"
66,Danforth,"9,666","8,554",2.44,"260,052","2,595","4,370","2,905","5,680","4,030","5,565","1,300"
67,Playter Estates-Danforth,"7,804","8,671",2.14,"194,189","1,885","3,725","2,385","4,995","2,815","4,825",970
68,North Riverdale,"11,916","6,770",2.33,"318,764","3,130","5,490","3,445","7,585","3,930","7,745","1,210"
69,Blake-Jones,"7,727","8,134",2.46,"154,132","2,290","3,605","1,950","4,305","4,080","3,605","1,620"
70,South Riverdale,"27,876","3,136",2.24,"662,651","6,420","15,025","6,970","17,240","12,740","14,300","4,750"
71,Cabbagetown-South St. James Town,"11,669","8,335",1.71,"301,145","1,835","5,855","4,270","7,650","5,245","5,745","2,225"
72,Regent Park,"10,803","16,880",2.15,"103,250","3,410","5,575","1,880","5,970","8,055","2,615","3,765"
73,Moss Park,"20,506","14,753",1.6,"170,813","3,600","12,530","4,535","12,610","10,285","8,175","5,490"
74,North St. James Town,"18,615","44,321",1.92,"144,164","4,555","10,350","3,930","11,235","14,000","4,355","6,070"
75,Church-Yonge Corridor,"31,340","23,044",1.54,"443,734","6,320","18,780","6,495","22,445","16,005","14,320","7,820"
76,Bay Street Corridor,"25,797","14,097",1.7,"352,218","8,555","13,065","4,510","15,185","15,230","10,365","9,235"
77,Waterfront Communities-The Island,"65,913","8,943",1.61,"662,333","11,490","45,105","9,680","51,890","25,550","40,085","10,510"
78,Kensington-Chinatown,"17,945","11,806",2,"222,404","4,665","8,760","4,980","10,525","12,155","5,300","6,100"
79,University,"7,607","5,395",1.97,"197,072","2,050","3,590","2,275","4,540","3,605","3,075","1,765"
80,Palmerston-Little Italy,"13,826","9,601",2.17,"347,339","2,745","7,845","3,510","9,550","6,555","7,205","2,440"
81,Trinity-Bellwoods,"16,556","9,570",2.35,"333,954","3,375","9,210","4,305","10,695","8,410","7,815","2,860"
82,Niagara,"31,180","10,156",1.62,"369,683","4,470","23,320","3,490","25,050","11,210","19,215","4,040"
83,Dufferin Grove,"11,785","8,540",2.15,"128,586","2,350","6,680","2,925","7,860","6,695","5,020","2,115"
84,Little Portugal,"15,559","12,859",2.03,"202,912","3,005","9,385","3,435","10,870","7,780","7,275","2,515"
85,South Parkdale,"21,849","9,583",1.81,"258,500","4,390","12,440","5,375","13,560","14,680","5,965","5,605"
86,Roncesvalles,"14,974","9,851",2.16,"377,518","3,605","7,990","3,555","9,285","7,425","7,440","2,870"
87,High Park-Swansea,"23,925","4,893",2.15,"483,620","5,665","11,570","7,425","15,375","8,080","15,265","2,425"
88,High Park North,"22,162","11,726",1.98,"496,958","4,740","11,660","6,315","14,480","9,465","12,345","3,300"
89,Runnymede-Bloor West Village,"10,070","6,333",2.64,"223,885","3,010","4,605","2,655","6,185","2,660","7,410",580
90,Junction Area,"14,366","5,442",2.33,"310,473","3,655","7,470","3,425","9,300","6,380","7,695","1,860"
91,Weston-Pelham Park,"11,098","7,601",2.62,"127,491","3,090","5,275","2,890","6,340","6,785","4,305","2,055"
92,Corso Italia-Davenport,"14,133","7,478",2.56,"304,000","3,455","6,930","4,055","8,685","7,110","6,965","1,865"
93,Dovercourt-Wallace Emerson-Junction,"36,625","9,819",2.37,"594,477","8,405","19,790","9,045","23,310","20,055","16,240","6,185"
94,Wychwood,"14,349","8,541",2.24,"239,484","3,180","6,420","5,625","8,160","6,355","6,840","2,055"
95,Annex,"30,526","10,863",1.8,"792,507","6,110","15,040","10,430","19,670","12,080","16,570","5,410"
96,Casa Loma,"10,968","5,683",2,"545,338","2,280","4,555","4,535","6,935","3,390","7,395","1,260"
97,Yonge-St.Clair,"12,528","10,708",1.76,"541,217","2,130","5,960","4,915","8,330","4,165","8,210","1,500"
98,Rosedale-Moore Park,"20,923","4,500",2.05,"1,413,132","4,810","7,925","8,920","12,470","5,065","15,555","1,995"
99,Mount Pleasant East,"16,775","5,411",2.25,"348,357","4,685","7,620","4,735","10,565","4,855","11,910","1,540"
100,Yonge-Eglinton,"11,817","7,162",2.08,"222,648","3,025","5,860","3,090","7,690","3,840","7,965","1,315"
101,Forest Hill South,"10,732","4,380",2.14,"784,645","2,720","4,235","4,115","6,790","2,995","7,615","1,045"
102,Forest Hill North,"12,806","8,054",2.33,"258,469","3,560","5,390","4,210","7,955","5,730","6,940","1,680"
103,Lawrence Park South,"15,179","4,685",2.63,"1,216,585","4,940","5,870","4,665","9,150","2,910","12,200","1,030"
104,Mount Pleasant West,"29,658","21,969",1.65,"443,047","4,900","17,100","8,575","20,180","14,120","14,800","5,380"
105,Lawrence Park North,"14,607","6,407",2.69,"470,908","4,950","5,980","3,925","8,545","2,780","11,775",890
106,Humewood-Cedarvale,"14,365","7,682",2.17,"289,910","3,775","7,005","3,870","9,400","6,560","7,665","2,065"
107,Oakwood Village,"21,210","9,511",2.42,"267,062","5,405","9,535","6,830","12,275","12,040","8,925","3,410"
108,Briar Hill-Belgravia,"14,257","7,791",2.48,"190,243","3,510","6,740","4,335","8,785","8,720","5,490","2,105"
109,Caledonia-Fairbank,"9,955","6,464",2.69,"132,879","2,710","4,570","2,840","5,915","5,655","4,250","1,195"
110,Keelesdale-Eglinton West,"11,058","6,467",2.64,"184,802","3,040","4,790","3,450","6,120","6,945","4,085","1,640"
111,Rockcliffe-Smythe,"22,246","4,414",2.45,"295,358","6,245","9,255","7,225","12,130","13,965","8,280","4,105"
112,Beechborough-Greenbrook,"6,577","3,614",2.4,"109,880","1,975","2,750","1,995","3,370","4,545","1,820","1,395"
113,Weston,"17,992","7,197",2.33,"171,044","5,325","7,785","5,270","9,585","12,070","5,620","4,435"
